"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3"
"278";"GM0957    ";"GM0957    ";"Roermond                                          ";"Roermond                                          "
"279";"GM0736    ";"GM0736    ";"De Ronde Venen                                    ";"Ronde Venen De                                    "
"280";"GM1674    ";"GM1674    ";"Roosendaal                                        ";"Roosendaal                                        "
"281";"GM0599    ";"GM0599    ";"Rotterdam                                         ";"Rotterdam                                         "
"282";"GM0277    ";"GM0277    ";"Rozendaal                                         ";"Rozendaal                                         "
"283";"GM0840    ";"GM0840    ";"Rucphen                                           ";"Rucphen                                           "
"284";"GM0441    ";"GM0441    ";"Schagen                                           ";"Schagen                                           "
"285";"GM0279    ";"GM0279    ";"Scherpenzeel                                      ";"Scherpenzeel                                      "
"286";"GM0606    ";"GM0606    ";"Schiedam                                          ";"Schiedam                                          "
"287";"GM0088    ";"GM0088    ";"Schiermonnikoog                                   ";"Schiermonnikoog                                   "
"288";"GM0844    ";"GM0844    ";"Schijndel                                         ";"Schijndel                                         "
"289";"GM0962    ";"GM0962    ";"Schinnen                                          ";"Schinnen                                          "
"290";"GM1676    ";"GM1676    ";"Schouwen-Duiveland                                ";"Schouwen+Duiveland                                "
"291";"GM0965    ";"GM0965    ";"Simpelveld                                        ";"Simpelveld                                        "
"292";"GM1702    ";"GM1702    ";"Sint Anthonis                                     ";"Sint Anthonis                                     "
"293";"GM0845    ";"GM0845    ";"Sint-Michielsgestel                               ";"Sint+Michielsgestel                               "
"294";"GM0846    ";"GM0846    ";"Sint-Oedenrode                                    ";"Sint+Oedenrode                                    "
"295";"GM1883    ";"GM1883    ";"Sittard-Geleen                                    ";"Sittard+Geleen                                    "
"296";"GM0610    ";"GM0610    ";"Sliedrecht                                        ";"Sliedrecht                                        "
"297";"GM0040    ";"GM0040    ";"Slochteren                                        ";"Slochteren                                        "
"298";"GM1714    ";"GM1714    ";"Sluis                                             ";"Sluis                                             "
"299";"GM0090    ";"GM0090    ";"Smallingerland                                    ";"Smallingerland                                    "
"300";"GM0342    ";"GM0342    ";"Soest                                             ";"Soest                                             "
"301";"GM0847    ";"GM0847    ";"Someren                                           ";"Someren                                           "
"302";"GM0848    ";"GM0848    ";"Son en Breugel                                    ";"Son en Breugel                                    "
"303";"GM0037    ";"GM0037    ";"Stadskanaal                                       ";"Stadskanaal                                       "
"304";"GM0180    ";"GM0180    ";"Staphorst                                         ";"Staphorst                                         "
"305";"GM0532    ";"GM0532    ";"Stede Broec                                       ";"Stede Broec                                       "
"306";"GM0851    ";"GM0851    ";"Steenbergen                                       ";"Steenbergen                                       "
"307";"GM1708    ";"GM1708    ";"Steenwijkerland                                   ";"Steenwijkerland                                   "
"308";"GM0971    ";"GM0971    ";"Stein                                             ";"Stein                                             "
"309";"GM1904    ";"GM1904    ";"Stichtse Vecht                                    ";"Stichtse Vecht                                    "
"310";"GM0617    ";"GM0617    ";"Strijen                                           ";"Strijen                                           "
"311";"GM1900    ";"GM1900    ";"Súdwest-Fryslân                                   ";"Sudwest-Fryslan                                   "
"312";"GM0715    ";"GM0715    ";"Terneuzen                                         ";"Terneuzen                                         "
"313";"GM0093    ";"GM0093    ";"Terschelling                                      ";"Terschelling                                      "
"314";"GM0448    ";"GM0448    ";"Texel                                             ";"Texel                                             "
"315";"GM1525    ";"GM1525    ";"Teylingen                                         ";"Teylingen                                         "
"316";"GM0716    ";"GM0716    ";"Tholen                                            ";"Tholen                                            "
"317";"GM0281    ";"GM0281    ";"Tiel                                              ";"Tiel                                              "
"318";"GM0855    ";"GM0855    ";"Tilburg                                           ";"Tilburg                                           "
"319";"GM0183    ";"GM0183    ";"Tubbergen                                         ";"Tubbergen                                         "
"320";"GM1700    ";"GM1700    ";"Twenterand                                        ";"Twenterand                                        "
"321";"GM1730    ";"GM1730    ";"Tynaarlo                                          ";"Tynaarlo                                          "
"322";"GM0737    ";"GM0737    ";"Tytsjerksteradiel                                 ";"Tytsjerksteradiel                                 "
"323";"GM0856    ";"GM0856    ";"Uden                                              ";"Uden                                              "
"324";"GM0450    ";"GM0450    ";"Uitgeest                                          ";"Uitgeest                                          "
"325";"GM0451    ";"GM0451    ";"Uithoorn                                          ";"Uithoorn                                          "
"326";"GM0184    ";"GM0184    ";"Urk                                               ";"Urk                                               "
"327";"GM0344    ";"GM0344    ";"Utrecht                                           ";"Utrecht                                           "
"328";"GM1581    ";"GM1581    ";"Utrechtse Heuvelrug                               ";"Utrechtse Heuvelrug                               "
