GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
M;55 t/m 59 jaar;GILZE EN RIJEN;933;926.26;1308752.70;284872.70;75812.82;53660.50;31183.86;43052.79;22847.27;109830.29;22019.75;15482.02;2571.24;10513.51;28742.85;0.00;0.00;5327.08;0.00;92578.48;10.80;0.00;18663.96;13650.83
M;60 t/m 64 jaar;GILZE EN RIJEN;878;871.68;1696786.99;348189.11;96549.26;51064.50;34890.12;67100.13;21625.75;131335.98;51650.17;32125.14;2323.08;10963.85;34357.94;0.00;0.00;695.87;0.00;10681.02;10.80;13873.56;54818.46;9756.19
M;65 t/m 69 jaar;GILZE EN RIJEN;912;903.95;2164055.63;461207.11;25573.05;73507.95;39381.51;100369.77;25632.81;196673.73;55821.34;47855.94;4234.69;10643.97;40953.01;0.00;0.00;2117.94;0.00;5097.07;3.60;8845.91;139761.66;12516.51
M;70 t/m 74 jaar;GILZE EN RIJEN;675;669.43;2049806.61;406307.49;15261.85;57126.52;33502.23;81804.02;24497.44;148026.99;39921.04;49290.71;3834.67;8916.43;52668.23;0.00;0.00;747.65;0.00;33040.92;1.80;68551.75;146455.93;7375.12
M;75 t/m 79 jaar;GILZE EN RIJEN;447;436.26;1109505.91;312706.66;1469.05;43344.44;26961.86;54797.05;18598.04;115265.05;28503.21;32216.32;2690.74;17308.65;36461.57;0.00;0.00;0.00;0.00;1731.43;0.00;91409.54;147487.18;4474.17
M;80 t/m 84 jaar;GILZE EN RIJEN;286;277.30;897589.49;235560.02;4909.47;27698.46;24096.17;37585.38;16418.27;93418.95;15643.95;31894.15;3856.08;5872.07;47852.55;0.00;0.00;0.00;0.00;32905.42;0.00;72277.12;208116.72;2098.06
M;85 t/m 89 jaar;GILZE EN RIJEN;132;125.24;377756.05;123823.33;2199.72;11760.24;13786.35;19408.11;8597.05;59490.77;11277.23;14088.18;970.65;0.00;25670.21;0.00;0.00;0.00;0.00;63.42;0.00;21243.86;188372.14;5380.21
M;90+;GILZE EN RIJEN;45;36.75;94888.78;35731.34;1099.86;3765.34;6978.88;4865.89;5138.48;29419.31;331.29;38.50;614.95;0.00;4354.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90632.14;0.00
V; 0 t/m  4 jaar;GILZE EN RIJEN;625;564.55;867074.45;44863.66;0.00;31810.84;18416.67;30.00;36801.39;17043.84;11571.69;14113.74;15425.98;0.00;12649.80;0.00;0.00;0.00;0.00;378.28;10.80;0.00;0.00;20454.95
V; 5 t/m  9 jaar;GILZE EN RIJEN;671;668.19;254269.57;37602.52;0.00;39166.17;13681.33;30.00;19310.65;38433.54;70844.25;19745.69;28612.86;0.00;728.70;0.00;0.00;0.00;0.00;1151.49;5.40;0.00;258.24;218.53
V;10 t/m 14 jaar;GILZE EN RIJEN;763;756.91;170995.97;31824.50;0.00;44240.17;13664.28;24.52;15683.94;12836.87;99848.96;24597.55;8861.25;0.00;0.00;0.00;0.00;0.00;0.00;456.96;7.20;0.00;0.00;9900.93
V;15 t/m 19 jaar;GILZE EN RIJEN;755;752.95;323432.75;114018.55;101410.15;43733.75;22743.69;85.19;19927.88;12936.23;82364.50;35448.69;6544.54;29.48;9328.32;1105.73;607.89;1805.67;0.00;4503.27;6.75;0.00;0.00;13864.10
